team_fullname,team_schoolname,team_href,capacity,city,team_abvname
Air Force Falcons,Air Force,/cfb/schools/air-force/,46692.0,"USAF Academy, Colorado",AF Falcons
Akron Zips,Akron,/cfb/schools/akron/,30000.0,"Akron, Ohio",Akron Zips
Alabama Crimson Tide,Alabama,/cfb/schools/alabama/,101821.0,"Tuscaloosa, Alabama",Alabama Crimson Tide
Appalachian State Mountaineers,Appalachian State,/cfb/schools/appalachian-state/,24050.0,"Boone, North Carolina",AS Mountaineers
Arizona Wildcats,Arizona,/cfb/schools/arizona/,57803.0,"Tucson, Arizona",Arizona Wildcats
Arizona State Sun Devils,Arizona State,/cfb/schools/arizona-state/,71706.0,"Tempe, Arizona",AS Sun Devils
Arkansas Razorbacks,Arkansas,/cfb/schools/arkansas/,72000.0,"Fayetteville, Arkansas",Arkansas Razorbacks
Arkansas State Red Wolves,Arkansas State,/cfb/schools/arkansas-state/,30964.0,"State University, Arkansas",AS Red Wolves
Army Black Knights,Army,/cfb/schools/army/,38000.0,"West Point, New York",Army Black Knights
Auburn Tigers,Auburn,/cfb/schools/auburn/,87451.0,"Auburn, Alabama",Auburn Tigers
Ball State Cardinals,Ball State,/cfb/schools/ball-state/,22500.0,"Muncie, Indiana",BS Cardinals
Baylor Bears,Baylor,/cfb/schools/baylor/,45140.0,"Waco, Texas",Baylor Bears
Boise State Broncos,Boise State,/cfb/schools/boise-state/,37000.0,"Boise, Idaho",BS Broncos
Boston College Eagles,Boston College,/cfb/schools/boston-college/,44500.0,"Chestnut Hill, Massachusetts",BC Eagles
Bowling Green State Falcons,Bowling Green State,/cfb/schools/bowling-green-state/,24000.0,"Bowling Green, Ohio",BGS Falcons
Brigham Young Cougars,Brigham Young,/cfb/schools/brigham-young/,63470.0,"Provo, Utah",BY Cougars
Brown Bears,Brown,/cfb/schools/brown/,,"Providence, Rhode Island",Brown Bears
Buffalo Bulls,Buffalo,/cfb/schools/buffalo/,29013.0,"Buffalo, New York",Buffalo Bulls
Cal State Fullerton Titans,Cal State Fullerton,/cfb/schools/cal-state-fullerton/,,"Fullerton, California",CSF Titans
California Golden Bears,California,/cfb/schools/california/,63186.0,"Berkeley, California",California Golden Bears
Central Michigan Chippewas,Central Michigan,/cfb/schools/central-michigan/,30255.0,"Mount Pleasant, Michigan",CM Chippewas
Charlotte 49ers,Charlotte,/cfb/schools/charlotte/,,"Charlotte, North Carolina",Charlotte 49ers
Chattanooga Mocs,Chattanooga,/cfb/schools/chattanooga/,,"Chattanooga, Tennessee",Chattanooga Mocs
Cincinnati Bearcats,Cincinnati,/cfb/schools/cincinnati/,35000.0,"Cincinnati, Ohio",Cincinnati Bearcats
Citadel Bulldogs,Citadel,/cfb/schools/citadel/,,"Charleston, South Carolina",Citadel Bulldogs
Clemson Tigers,Clemson,/cfb/schools/clemson/,81500.0,"Clemson, South Carolina",Clemson Tigers
Coastal Carolina Chanticleers,Coastal Carolina,/cfb/schools/coastal-carolina/,,"Conway, South Carolina",CC Chanticleers
Colgate Raiders,Colgate,/cfb/schools/colgate/,,"Hamilton, New York",Colgate Raiders
Colorado Buffaloes,Colorado,/cfb/schools/colorado/,53613.0,"Boulder, Colorado",Colorado Buffaloes
Colorado State Rams,Colorado State,/cfb/schools/colorado-state/,32500.0,"Fort Collins, Colorado",CS Rams
Columbia Lions,Columbia,/cfb/schools/columbia/,,"New York, New York",Columbia Lions
Connecticut Huskies,Connecticut,/cfb/schools/connecticut/,40000.0,"Storrs, Connecticut",Connecticut Huskies
Cornell Big Red,Cornell,/cfb/schools/cornell/,,"Ithaca, New York",Cornell Big Red
Dartmouth Big Green,Dartmouth,/cfb/schools/dartmouth/,,"Hanover, New Hampshire",Dartmouth Big Green
Drake Bulldogs,Drake,/cfb/schools/drake/,,"Des Moines, Iowa",Drake Bulldogs
Duke Blue Devils,Duke,/cfb/schools/duke/,33941.0,"Durham, North Carolina",Duke Blue Devils
East Carolina Pirates,East Carolina,/cfb/schools/east-carolina/,50000.0,"Greenville, North Carolina",EC Pirates
East Tennessee State Buccaneers,East Tennessee State,/cfb/schools/east-tennessee-state/,,"Johnson City, Tennessee",ETS Buccaneers
Eastern Michigan Eagles,Eastern Michigan,/cfb/schools/eastern-michigan/,30200.0,"Ypsilanti, Michigan",EM Eagles
Florida Gators,Florida,/cfb/schools/florida/,88548.0,"Gainesville, Florida",Florida Gators
Florida A&M Rattlers,Florida A&M,/cfb/schools/florida-am/,,"Tallahassee, Florida",FA Rattlers
Florida Atlantic Owls,Florida Atlantic,/cfb/schools/florida-atlantic/,20450.0,"Boca Raton, Florida",FA Owls
Florida International Golden Panthers,Florida International,/cfb/schools/florida-international/,23500.0,"Miami, Florida",FI Golden Panthers
Florida State Seminoles,Florida State,/cfb/schools/florida-state/,82300.0,"Tallahassee, Florida",FS Seminoles
Fresno State Bulldogs,Fresno State,/cfb/schools/fresno-state/,41031.0,"Fresno, California",FS Bulldogs
Furman Paladins,Furman,/cfb/schools/furman/,,"Greenville, South Carolina",Furman Paladins
Georgia Bulldogs,Georgia,/cfb/schools/georgia/,92746.0,"Athens, Georgia",Georgia Bulldogs
Georgia Southern Eagles,Georgia Southern,/cfb/schools/georgia-southern/,24300.0,"Statesboro, Georgia",GS Eagles
Georgia State Panthers,Georgia State,/cfb/schools/georgia-state/,24333.0,"Atlanta, Georgia",GS Panthers
