season,team,player,starter,href,class,pos
2009,Air Force,Tim Jefferson,1,/cfb/players/tim-jefferson-1.html,SO,QB
2009,Air Force,Connor Dietz,0,,SO,QB
2009,Air Force,Ben Cochran,0,,JR,QB
2009,Air Force,Chris Thompson,0,,FR,QB
2009,Air Force,Asher Clark,1,/cfb/players/asher-clark-1.html,SO,RB
2009,Air Force,Jared Tew,1,/cfb/players/jared-tew-1.html,JR,RB
2009,Air Force,Savier Stephens,0,,JR,RB
2009,Air Force,Nathan Walker,0,,JR,RB
2009,Air Force,Darius Jones,0,,FR,RB
2009,Air Force,Ryan Southworth,0,,JR,RB
2009,Air Force,Austin Ollis,0,,SO,RB
2009,Air Force,Wesley Cobb,0,,FR,RB
2009,Air Force,Justin Franklin,0,,SO,RB
2009,Air Force,Ryan Misare,0,,SO,RB
2009,Air Force,Kevin Fogler,1,/cfb/players/kevin-fogler-1.html,JR,WR
2009,Air Force,Jonathan Warzeka,1,,,WR
2009,Air Force,Johnathan Warzeka,0,,SO,WR
2009,Air Force,Josh Cousins,0,,SR,WR
2009,Air Force,Cody Getz,0,,FR,WR
2009,Air Force,Kyle Halderman,0,,JR,WR
2009,Air Force,Mikel Hunter,0,,FR,WR
2009,Air Force,Drew Coleman,0,,FR,WR
2009,Air Force,Jon Escamilla,0,,SO,WR
2009,Air Force,Vincent Capra,0,,SO,WR
2009,Air Force,Joshua Freeman,0,,SO,WR
2009,Air Force,Sean Quintana,1,/cfb/players/sean-quintana-1.html,SR,TE
2009,Air Force,Chaz Demerath,0,,JR,TE
2009,Air Force,Chris Campbell,1,/cfb/players/chris-campbell-5.html,SR,OL
2009,Air Force,Nick Charles,1,,,OL
2009,Air Force,Ryan Gonzales,1,/cfb/players/ryan-gonzales-1.html,SR,OL
2009,Air Force,Michael Hampton,1,,,OL
2009,Air Force,Peter Lusk,1,,,OL
2009,Air Force,A.J. Wallerstein,0,,SO,OL
2009,Air Force,Daniel Compton,0,,FR,K
2009,Air Force,Erik Soderberg,0,,SO,K
2009,Air Force,Ben Garland,1,/cfb/players/ben-garland-1.html,SR,DL
2009,Air Force,Myles Morales,1,/cfb/players/myles-morales-1.html,SR,DL
2009,Air Force,Rick Ricketts,1,/cfb/players/rick-ricketts-1.html,JR,DL
2009,Air Force,Bradley Connor,0,,JR,DL
2009,Air Force,Ryan Gardner,0,,SO,DL
2009,Air Force,Harry Kehs,0,,SO,DL
2009,Air Force,Zach Payne,0,,SO,DL
2009,Air Force,Kebin Umodu,0,,SO,DL
2009,Air Force,Wylie Wikstrom,0,,JR,DL
2009,Air Force,John Falgout,1,/cfb/players/john-falgout-1.html,SR,LB
2009,Air Force,Olawale Lawal,1,,,LB
2009,Air Force,Justin Moore,1,/cfb/players/justin-moore-3.html,SR,LB
2009,Air Force,Andre Morris,1,/cfb/players/andre-morris-1.html,JR,LB
2009,Air Force,Brady Amack,0,,SO,LB
2009,Air Force,Cecilio Carter,0,,FR,LB
2009,Air Force,James Chambers,0,,FR,LB
2009,Air Force,Brian Corcoran,0,,FR,LB
2009,Air Force,Ross Fleming,0,,SO,LB
2009,Air Force,Braylon Gurnell,0,,JR,LB
2009,Air Force,Patrick Hennessey,0,,JR,LB
2009,Air Force,Ken Lamendola,0,,JR,LB
2009,Air Force,Wale Lawal,0,,FR,LB
2009,Air Force,Harrison McWilliams,0,,SO,LB
2009,Air Force,Alex Means,0,,FR,LB
2009,Air Force,Andre Morris Jr.,0,,JR,LB
2009,Air Force,Jordan Waiwaiole,0,,SO,LB
2009,Air Force,Jon Davis,1,/cfb/players/jon-davis-2.html,SO,DB
2009,Air Force,Reggie Rembert,1,/cfb/players/reggie-rembert-1.html,JR,DB
2009,Air Force,Chris Thomas,1,/cfb/players/chris-thomas-1.html,SR,DB
2009,Air Force,Anthony Wright,1,/cfb/players/anthony-wright-3.html,SO,DB
2009,Air Force,P.J. Adeji-Paul,0,,SO,DB
2009,Air Force,Elliott Battle,0,,JR,DB
2009,Air Force,Corbin Brown,0,,FR,DB
2009,Air Force,Josh Hall,0,,SO,DB
2009,Air Force,Luke Hyder,0,,SR,DB
2009,Air Force,Kevin Jablonsky,0,,SO,DB
2009,Air Force,Brian Lindsay,0,,FR,DB
2009,Air Force,Phillip Ofili,0,,SO,DB
2009,Air Force,Dontae Strickland,0,,FR,DB
2009,Air Force,Keil Bartholomew,0,,JR,P
2009,Air Force,Brandon Geyer,0,,SR,P
2009,Akron,Patrick Nicely,0,,FR,QB
2009,Akron,Matt Rodgers,0,,SO,QB
2009,Akron,Chris Jacquemain,0,,SR,QB
2009,Akron,Jared Wackerly,0,,FR,QB
2009,Akron,Alex Allen,0,,SR,RB
2009,Akron,Broderick Alexander,0,,FR,RB
2009,Akron,Joe Tuzze,0,,SR,RB
2009,Akron,Devoe Torrence,0,,FR,RB
2009,Akron,Norman Shuford,0,,FR,RB
2009,Akron,Dale Martin,0,,SO,RB
2009,Akron,Nate Burney,0,,JR,RB
2009,Akron,Andre Jones,0,,SR,WR
2009,Akron,Jeremy Bruce,0,,SR,WR
2009,Akron,Dashan Miller,0,,SR,WR
2009,Akron,Jeremy Lafrance,0,,JR,WR
2009,Akron,Deryn Bowser,0,,SR,WR
2009,Akron,Nadir Brown,0,,FR,WR
2009,Akron,Anthony Meriwether,0,,FR,WR
2009,Akron,Curtis Brown,0,,SO,WR
2009,Akron,Kyle Weber,0,,JR,TE
2009,Akron,Jake Anderson,0,,SO,OL
2009,Akron,Mike Ward,0,,JR,OL
2009,Akron,Corey Woods,0,,JR,OL
2009,Akron,Igor Iveljic,0,,JR,K
2009,Akron,Branko Rogovic,0,,JR,K
2009,Akron,Adam Bice,0,,FR,DL
2009,Akron,James Harvey,0,,SO,DL
2009,Akron,Hasan Hazime,0,,SO,DL
2009,Akron,Antoine Jones,0,,JR,DL
2009,Akron,Dan Marcoux,0,,SO,DL
2009,Akron,Deni Odofin,0,,JR,DL
2009,Akron,Almondo Sewell,0,,JR,DL
2009,Akron,Al-Teric Balaam,0,,SR,LB
2009,Akron,Will Fleming,0,,FR,LB
2009,Akron,Sean Fobbs,0,,JR,LB
2009,Akron,Troy Gilmer,0,,FR,LB
2009,Akron,Amin Kabir,0,,SR,LB
2009,Akron,Marcus Lemon,0,,SR,LB
2009,Akron,Shawn Lemon,0,,JR,LB
2009,Akron,Matt Little,0,,SO,LB
2009,Akron,Jared Province,0,,FR,LB
2009,Akron,Mike Thomas,0,,JR,LB
2009,Akron,Brian Wagner,0,,FR,LB
2009,Akron,Aaron Williams,0,,SO,LB
2009,Akron,Levon Morefield,0,,JR,DB
2009,Akron,Marvase Byrd,0,,FR,DB
2009,Akron,Tyler Campbell,0,,JR,DB
2009,Akron,Jalil Carter,0,,JR,DB
2009,Akron,Wayne Cobham,0,,SR,DB
2009,Akron,Kevin Davis,0,,JR,DB
2009,Akron,Miguel Graham,0,,SR,DB
2009,Akron,Doug Richardson,0,,JR,DB
2009,Akron,Josh Richmond,0,,FR,DB
2009,Akron,Manley Waller,0,,SO,DB
2009,Akron,Diamond Weaver,0,,JR,DB
2009,Akron,Zack Campbell,0,,SO,P
2009,Akron,John Stec,0,,SR,P
2009,Alabama,Greg McElroy,1,/cfb/players/greg-mcelroy-1.html,JR,QB
2009,Alabama,Star Jackson,0,,FR,QB
2009,Alabama,Mark Ingram,1,/cfb/players/mark-ingram-1.html,SO,RB
2009,Alabama,Trent Richardson,0,,FR,RB
2009,Alabama,Roy Upchurch,0,,SR,RB
2009,Alabama,Terry Grant,0,,JR,RB
2009,Alabama,Demetrius Goode,0,,SO,RB
2009,Alabama,Baron Huber,0,,SR,RB
2009,Alabama,Marquis Maze,1,/cfb/players/marquis-maze-1.html,SO,WR
2009,Alabama,Julio Jones,1,/cfb/players/julio-jones-1.html,SO,WR
2009,Alabama,Darius Hanks,0,,SO,WR
2009,Alabama,Mike McCoy,0,,SR,WR
2009,Alabama,Earl Alexander,0,,JR,WR
2009,Alabama,Brandon Gibson,0,,SO,WR
2009,Alabama,Michael Bowman,0,,FR,WR
2009,Alabama,Colin Peek,1,/cfb/players/colin-peek-1.html,SR,TE
2009,Alabama,Preston Dial,1,/cfb/players/preston-dial-1.html,JR,TE
2009,Alabama,Brad Smelley,0,,SO,TE
2009,Alabama,Michael Williams,0,,FR,TE
2009,Alabama,James Carpenter,1,/cfb/players/james-carpenter-1.html,JR,OL
2009,Alabama,Drew Davis,1,,,OL
2009,Alabama,Mike Johnson,1,/cfb/players/mike-johnson-2.html,,OL
2009,Alabama,Barrett Jones,1,,,OL
2009,Alabama,William Vlachos,1,,,OL
2009,Alabama,Brian Selman,0,,SR,OL
2009,Alabama,Jeremy Shelley,0,,FR,K
2009,Alabama,Leigh Tiffin,0,,SR,K
2009,Alabama,Terrence Cody,1,/cfb/players/terrence-cody-1.html,SR,DL
2009,Alabama,Brandon Deaderick,1,/cfb/players/brandon-deaderick-1.html,SR,DL
2009,Alabama,Lorenzo Washington,1,/cfb/players/lorenzo-washington-1.html,SR,DL
2009,Alabama,Josh Chapman,0,,JR,DL
2009,Alabama,Marcel Dareus,0,,,DL
2009,Alabama,Marcell Dareus,0,,SO,DL
2009,Alabama,Luther Davis,0,,JR,DL
2009,Alabama,Nick Gentry,0,,SO,DL
2009,Alabama,Kerry Murphy,0,,FR,DL
2009,Alabama,Milton Talbert,0,,JR,DL
2009,Alabama,Alex Watkins,0,,SO,DL
2009,Alabama,Chavis Williams,0,,JR,DL
2009,Alabama,Eryk Anders,1,/cfb/players/eryk-anders-1.html,SR,LB
2009,Alabama,Don'ta Hightower,1,,,LB
2009,Alabama,Rolando McClain,1,/cfb/players/rolando-mcclain-1.html,JR,LB
2009,Alabama,Dont'a Hightower,0,,SO,LB
2009,Alabama,Nico Johnson,0,,FR,LB
2009,Alabama,Chris Jordan,0,,SO,LB
2009,Alabama,Courtney Upshaw,0,,SO,LB
2009,Alabama,Mark Barron,1,/cfb/players/mark-barron-1.html,SO,DB
2009,Alabama,Javier Arenas,1,/cfb/players/javier-arenas-1.html,SR,DB
2009,Alabama,Kareem Jackson,1,/cfb/players/kareem-jackson-1.html,JR,DB
2009,Alabama,Cory Reamer,1,/cfb/players/cory-reamer-1.html,SR,DB
2009,Alabama,Justin Woodall,1,/cfb/players/justin-woodall-1.html,SR,DB
2009,Alabama,Hampton Gray,0,,SR,DB
2009,Alabama,Robby Green,0,,SO,DB
2009,Alabama,Jerrell Harris,0,,SO,DB
2009,Alabama,Marquis Johnson,0,,SR,DB
2009,Alabama,Tyrone King,0,,SR,DB
2009,Alabama,Dre Kirkpatrick,0,,FR,DB
2009,Alabama,Robert Lester,0,,FR,DB
2009,Alabama,Chris Rogers,0,,SR,DB
2009,Alabama,Ali Sharrief,0,,SR,DB
2009,Alabama,Rod Woodson,0,,FR,DB
2009,Alabama,P.J. Fitzgerald,0,,SR,P
2009,Arizona,Nick Foles,1,/cfb/players/nick-foles-1.html,SO,QB
2009,Arizona,Matt Scott,0,,SO,QB
2009,Arizona,Bryson Beirne,0,,SO,QB
2009,Arizona,Chris Gronkowski,1,/cfb/players/chris-gronkowski-1.html,SR,RB
2009,Arizona,Nicholas Grigsby,1,,,RB
2009,Arizona,Keola Antolin,0,,SO,RB
2009,Arizona,Nic Grigsby,0,,JR,RB
2009,Arizona,Greg Nwoko,0,,SO,RB
2009,Arizona,Nick Booth,0,,SR,RB
2009,Arizona,Delashaun Dean,1,/cfb/players/delashaun-dean-1.html,JR,WR
2009,Arizona,Terrell Turner,1,/cfb/players/terrell-turner-1.html,SR,WR
2009,Arizona,David Douglas,0,,SO,WR
2009,Arizona,Juron Criner,0,,SO,WR
2009,Arizona,William Wright,0,,SO,WR
2009,Arizona,Travis Cobb,0,,JR,WR
2009,Arizona,David Roberts,0,,SO,WR
2009,Arizona,Terrence Miller,0,,FR,WR
2009,Arizona,Michael Turner,0,,JR,WR
2009,Arizona,A.J. Simmons,1,/cfb/players/aj-simmons-1.html,JR,TE
2009,Arizona,Taimi Tutogi,0,,FR,TE
