name_247,name_cfbr,id_espn
Air Force,Air Force,2005
Akron,Akron,2006
Alabama,Alabama,2011
Alabama A&M,,2010
Alabama State,,2011
Albany,,399
Alcorn State,,2011
Appalachian State,Appalachian State,2011
Arizona,Arizona,12
Arizona State,Arizona State,12
Arkansas,Arkansas,8
Arkansas State,Arkansas State,2032
Army,Army,349
Auburn,Auburn,142
Austin Peay,,2046
Ball State,Ball State,2011
Baylor,Baylor,239
Bethune-Cookman,,2065
Boise State,Boise State,2449
Boston College,Boston College,103
Bowling Green,Bowling Green State,189
Brigham Young,Brigham Young,252
Brown,,204
Bucknell,,
Buffalo,Buffalo,2084
Cal Poly,,13
California,California,25
Campbell,,2097
Central Arkansas,,2110
Central Connecticut State,,
Central Michigan,Central Michigan,2117
Charleston Southern,,204
Charlotte,Charlotte,2429
Chattanooga,,236
Cincinnati,Cincinnati,2132
Citadel,,344
Clemson,Clemson,142
Coastal Carolina,Coastal Carolina,324
Colgate,,2142
Colorado,Colorado,38
Colorado State,Colorado State,36
Columbia,,
Connecticut,Connecticut,41
Cornell,,
Dartmouth,,
Dayton,,
Delaware,,48
Delaware State,,2011
Drake,,344
Duke,Duke,150
Duquesne,,2184
East Carolina,East Carolina,151
East Tennessee State,,
Eastern Illinois,,2197
Eastern Kentucky,,2198
Eastern Michigan,Eastern Michigan,2199
Eastern Washington,,331
Elon,,2210
FIU,Florida International,2229
Florida,Florida,57
Florida A&M,,50
Florida Atlantic,Florida Atlantic,2226
Florida State,Florida State,52
Fordham,,2230
Fresno State,Fresno State,344
Furman,,231
Gardner-Webb,,2241
Georgetown,,
Georgia,Georgia,61
Georgia Southern,Georgia Southern,2415
Georgia State,Georgia State,2415
Georgia Tech,Georgia Tech,59
Grambling State,,2755
Hampton,,2261
Harvard,,
Hawaii,Hawaii,62
Holy Cross,,
Houston,Houston,248
Houston Baptist,,2534
Howard,,47
Idaho,Idaho,70
Idaho State,,304
Illinois,Illinois,356
Illinois State,,79
Indiana,Indiana,84
Indiana State,,282
Iowa,Iowa,194
Iowa State,Iowa State,194
Jackson State,,2296
Jacksonville,,
Jacksonville State,,55
James Madison,,256
Kansas,Kansas,2305
Kansas State,Kansas State,12
Kennesaw State,,304
Kent State,Kent State,204
Kentucky,Kentucky,12
LSU,LSU,142
Lafayette,,
Lamar,,2320
Lehigh,,
Liberty,,2335
Louisiana Tech,Louisiana Tech,344
Louisiana-Lafayette,Louisiana-Lafayette,309
Louisiana-Monroe,Louisiana-Monroe,2433
Louisville,Louisville,97
Maine,,2415
Marist,,
Marshall,Marshall,276
Maryland,Maryland,120
Massachusetts,Massachusetts,113
McNeese State,,2415
Memphis,Memphis,142
Mercer,,
Miami,Miami (FL),2390
Miami (OH),Miami (OH),193
Michigan,Michigan,130
Michigan State,Michigan State,127
Middle Tennessee State,Middle Tennessee State,2393
Minnesota,Minnesota,135
Mississippi State,Mississippi State,344
Mississippi Valley State,,344
Missouri,Missouri,142
Missouri State,,2415
Monmouth,,2405
Montana,,149
Montana State,,2415
Morehead State,,2415
Morgan State,,2415
Murray State,,93
N.C. State,North Carolina State,152
Navy,Navy,2426
Nebraska,Nebraska,111
Nevada,Nevada,2440
New Hampshire,,12
New Mexico,New Mexico,167
New Mexico State,New Mexico State,204
Nicholls State,,304
Norfolk State,,2450
North Carolina,North Carolina,153
North Carolina A&T,,2448
North Carolina Central,,2428
North Dakota,,2449
North Dakota State,,2449
North Texas,North Texas,249
Northern Arizona,,2464
Northern Colorado,,2415
Northern Illinois,Northern Illinois,111
Northern Iowa,,2197
Northwestern,Northwestern,77
Northwestern State,,77
Notre Dame,Notre Dame,87
Oakland,,
Ohio,Ohio,195
Ohio State,Ohio State,194
Oklahoma,Oklahoma,201
Oklahoma State,Oklahoma State,194
Old Dominion,Old Dominion,295
Ole Miss,Ole Miss,145
Oregon,Oregon,2483
Oregon State,Oregon State,204
Penn State,Penn State,213
Pennsylvania,,
