college,name,href,short,id
Air Force,Air Force Falcons,https://247sports.com/college/air-force,air-force,0
Akron,Akron Zips,https://247sports.com/college/akron,akron,1
Alabama,Alabama Crimson Tide,https://247sports.com/college/alabama,alabama,2
Alabama A&M,Alabama A&M Bulldogs,https://aamu.247sports.com,aamu,3
Alabama State,Alabama State Hornets,https://alabamastate.247sports.com,alabamastate,4
Albany,,,,5
Alcorn State,Alcorn State Braves,https://alcornstate.247sports.com,alcornstate,6
Appalachian State,Appalachian State Mountaineers,https://appalachianstate.247sports.com,appalachianstate,7
Arizona,Arizona Wildcats,https://247sports.com/college/arizona,arizona,8
Arizona State,Arizona State Sun Devils,https://247sports.com/college/arizona-state,arizona-state,9
Arkansas,Arkansas Razorbacks,https://247sports.com/college/arkansas,arkansas,10
Arkansas State,Arkansas State Red Wolves,https://247sports.com/college/arkansas-state,arkansas-state,11
Army,Army Black Knights,https://247sports.com/college/army,army,12
Auburn,Auburn Tigers,https://auburn.247sports.com,auburn,13
Austin Peay,Austin Peay Governors,https://apsu.247sports.com,apsu,14
Ball State,Ball State Cardinals,https://247sports.com/college/ball-state,ball-state,15
Baylor,Baylor Bears,https://baylor.247sports.com,baylor,16
Bethune-Cookman,Bethune-Cookman Wildcats,https://bcu.247sports.com,bcu,17
Boise State,Boise State Broncos,https://247sports.com/college/boise-state,boise-state,18
Boston College,Boston College Eagles,https://247sports.com/college/boston-college,boston-college,19
Bowling Green,Bowling Green Falcons,https://247sports.com/college/bowling-green,bowling-green,20
Brigham Young,Brigham Young Cougars,https://247sports.com/college/byu,byu,21
Brown,Brown Bears,https://brown.247sports.com,brown,22
Bucknell,Bucknell,https://bucknell.247sports.com,bucknell,23
Buffalo,Buffalo Bulls,https://247sports.com/college/buffalo,buffalo,24
Cal Poly,Cal Poly Mustangs,https://calpoly.247sports.com,calpoly,25
California,California Golden Bears,https://247sports.com/college/california,california,26
Campbell,Campbell Fighting Camels,https://campbell.247sports.com,campbell,27
Central Arkansas,Central Arkansas Bears,https://uca.247sports.com,uca,28
Central Connecticut State,Central Connecticut State Blue Devils,https://ccsu.247sports.com,ccsu,29
Central Michigan,Central Michigan Chippewas,https://centralmichigan.247sports.com,centralmichigan,30
Charleston Southern,Charleston Southern Buccaneers,https://charlestonsouthern.247sports.com,charlestonsouthern,31
Charlotte,Charlotte 49ers,https://247sports.com/college/charlotte,charlotte,32
Chattanooga,Chattanooga Mocs,https://chattanooga.247sports.com,chattanooga,33
Cincinnati,Cincinnati Bearcats,https://247sports.com/college/cincinnati,cincinnati,34
Citadel,Citadel Bulldogs,https://citadel.247sports.com,citadel,35
Clemson,Clemson Tigers,https://247sports.com/college/clemson,clemson,36
Coastal Carolina,Coastal Carolina Chanticleers,https://coastalcarolina.247sports.com,coastalcarolina,37
Colgate,Colgate,https://colgate.247sports.com,colgate,38
Colorado,Colorado Buffaloes,https://247sports.com/college/colorado,colorado,39
Colorado State,Colorado State Rams,https://247sports.com/college/colorado-state,colorado-state,40
Columbia,Columbia Lions,https://columbia.247sports.com,columbia,41
Connecticut,Connecticut Huskies,https://247sports.com/college/uconn,uconn,42
Cornell,Cornell Big Red,https://cornell.247sports.com,cornell,43
Dartmouth,Dartmouth Big Green,https://dartmouth.247sports.com,dartmouth,44
Dayton,Dayton Flyers,https://247sports.com/college/dayton,dayton,45
Delaware,Delaware Blue Hens,https://delaware.247sports.com,delaware,46
Delaware State,Delaware State Hornets,https://dsu.247sports.com,dsu,47
Drake,Drake Bulldogs,https://247sports.com/college/drake,drake,48
Duke,Duke Blue Devils,https://duke.247sports.com,duke,49
Duquesne,Duquesne Dukes,https://247sports.com/college/duquesne,duquesne,50
East Carolina,East Carolina Pirates,https://247sports.com/college/east-carolina,east-carolina,51
East Tennessee State,East Tennessee State,https://etsu.247sports.com,etsu,52
Eastern Illinois,Eastern Illinois Panthers,https://eiu.247sports.com,eiu,53
Eastern Kentucky,Eastern Kentucky Colonels,https://eku.247sports.com,eku,54
Eastern Michigan,Eastern Michigan Eagles,https://247sports.com/college/eastern-michigan,eastern-michigan,55
Eastern Washington,Eastern Washington Eagles,https://ewu.247sports.com,ewu,56
Elon,Elon Phoenix,https://elon.247sports.com,elon,57
FIU,FIU Golden Panthers,https://247sports.com/college/florida-international,florida-international,58
Florida,Florida Gators,https://florida.247sports.com,florida,59
Florida A&M,Florida A&M Rattlers,https://famu.247sports.com,famu,60
Florida Atlantic,Florida Atlantic Owls,https://247sports.com/college/florida-atlantic,florida-atlantic,61
Florida State,Florida State Seminoles,https://floridastate.247sports.com,floridastate,62
Fordham,Fordham,https://247sports.com/college/fordham,fordham,63
Fresno State,Fresno State Bulldogs,https://247sports.com/college/fresno-state,fresno-state,64
Furman,Furman Paladins,https://furman.247sports.com,furman,65
Gardner-Webb,Gardner-Webb Runnin' Bulldogs,https://gardnerwebb.247sports.com,gardnerwebb,66
Georgetown,Georgetown,https://247sports.com/college/georgetown,georgetown,67
Georgia,Georgia Bulldogs,https://georgia.247sports.com,georgia,68
Georgia Southern,Georgia Southern Eagles,https://247sports.com/college/georgia-southern,georgia-southern,69
Georgia State,Georgia State Panthers,https://247sports.com/college/georgia-state,georgia-state,70
Georgia Tech,Georgia Tech Yellow Jackets,https://georgiatech.247sports.com,georgiatech,71
Grambling State,Grambling State Tigers,https://grambling.247sports.com,grambling,72
Hampton,Hampton Pirates,https://hampton.247sports.com,hampton,73
Harvard,Harvard Crimson,https://harvard.247sports.com,harvard,74
Hawaii,Hawaii Warriors,https://247sports.com/college/hawaii,hawaii,75
Holy Cross,Holy Cross,https://holycross.247sports.com,holycross,76
Houston,Houston Cougars,https://247sports.com/college/houston,houston,77
Houston Baptist,Houston Baptist,https://houstonbaptist.247sports.com,houstonbaptist,78
Howard,Howard Bison,https://howard.247sports.com,howard,79
Idaho,Idaho Vandals,https://idaho.247sports.com,idaho,80
Idaho State,Idaho State Bengals,https://idahostate.247sports.com,idahostate,81
Illinois,Illinois Fighting Illini,https://illinois.247sports.com,illinois,82
Illinois State,Illinois State Redbirds,https://247sports.com/college/illinois-state,illinois-state,83
Indiana,Indiana Hoosiers,https://indiana.247sports.com,indiana,84
Indiana State,Indiana State Sycamores,https://247sports.com/college/indiana-state,indiana-state,85
Iowa,Iowa Hawkeyes,https://iowa.247sports.com,iowa,86
