name,href,nickname,hrefname,id
Air Force,/cfb/schools/air-force/,Falcons,air force,0
Akron,/cfb/schools/akron/,Zips,akron,1
Alabama,/cfb/schools/alabama/,Crimson Tide,alabama,2
Appalachian State,/cfb/schools/appalachian-state/,Mountaineers,appalachian state,3
Arizona,/cfb/schools/arizona/,Wildcats,arizona,4
Arizona State,/cfb/schools/arizona-state/,Sun Devils,arizona state,5
Arkansas,/cfb/schools/arkansas/,Razorbacks,arkansas,6
Arkansas State,/cfb/schools/arkansas-state/,Red Wolves,arkansas state,7
Army,/cfb/schools/army/,Black Knights,army,8
Auburn,/cfb/schools/auburn/,Tigers,auburn,9
Ball State,/cfb/schools/ball-state/,Cardinals,ball state,10
Baylor,/cfb/schools/baylor/,Bears,baylor,11
Boise State,/cfb/schools/boise-state/,Broncos,boise state,12
Boston College,/cfb/schools/boston-college/,Eagles,boston college,13
Bowling Green State,/cfb/schools/bowling-green-state/,Falcons,bowling green state,14
Brigham Young,/cfb/schools/brigham-young/,Cougars,brigham young,15
Buffalo,/cfb/schools/buffalo/,Bulls,buffalo,16
California,/cfb/schools/california/,Golden Bears,california,17
Central Michigan,/cfb/schools/central-michigan/,Chippewas,central michigan,18
Charlotte,/cfb/schools/charlotte/,49ers,charlotte,19
Cincinnati,/cfb/schools/cincinnati/,Bearcats,cincinnati,20
Clemson,/cfb/schools/clemson/,Tigers,clemson,21
Coastal Carolina,/cfb/schools/coastal-carolina/,Chanticleers,coastal carolina,22
Colorado,/cfb/schools/colorado/,Buffaloes,colorado,23
Colorado State,/cfb/schools/colorado-state/,Rams,colorado state,24
Connecticut,/cfb/schools/connecticut/,Huskies,connecticut,25
Duke,/cfb/schools/duke/,Blue Devils,duke,26
East Carolina,/cfb/schools/east-carolina/,Pirates,east carolina,27
Eastern Michigan,/cfb/schools/eastern-michigan/,Eagles,eastern michigan,28
Florida,/cfb/schools/florida/,Gators,florida,29
Florida Atlantic,/cfb/schools/florida-atlantic/,Owls,florida atlantic,30
Florida International,/cfb/schools/florida-international/,Golden Panthers,florida international,31
Florida State,/cfb/schools/florida-state/,Seminoles,florida state,32
Fresno State,/cfb/schools/fresno-state/,Bulldogs,fresno state,33
Georgia,/cfb/schools/georgia/,Bulldogs,georgia,34
Georgia Southern,/cfb/schools/georgia-southern/,Eagles,georgia southern,35
Georgia State,/cfb/schools/georgia-state/,Panthers,georgia state,36
Georgia Tech,/cfb/schools/georgia-tech/,Yellow Jackets,georgia tech,37
Hawaii,/cfb/schools/hawaii/,Warriors,hawaii,38
