id,full,school,nickname,abbv
2000,Abilene Christian Wildcats,Abil Christian,Wildcats,ACU
2005,Air Force Falcons,Air Force,Falcons,AFA
2006,Akron Zips,Akron,Zips,AKR
2010,Alabama A&M Bulldogs,Alabama A&M,Bulldogs,AAMU
333,Alabama Crimson Tide,Alabama,Crimson Tide,ALA
2011,Alabama State Hornets,Alabama State,Hornets,ALST
399,Albany Great Danes,Albany,Great Danes,ALBY
2016,Alcorn State Braves,Alcorn State,Braves,ALCN
2026,Appalachian State Mountaineers,Appalachian St,Mountaineers,APP
9,Arizona State Sun Devils,Arizona State,Sun Devils,ASU
12,Arizona Wildcats,Arizona,Wildcats,ARIZ
8,Arkansas Razorbacks,Arkansas,Razorbacks,ARK
2032,Arkansas State Red Wolves,Arkansas State,Red Wolves,ARST
2029,Arkansas-Pine Bluff Golden Lions,AR-Pine Bluff,Golden Lions,ARPB
349,Army Black Knights,Army,Black Knights,ARMY
2,Auburn Tigers,Auburn,Tigers,AUB
2046,Austin Peay Governors,Austin Peay,Governors,PEAY
252,BYU Cougars,BYU,Cougars,BYU
2050,Ball State Cardinals,Ball State,Cardinals,BALL
239,Baylor Bears,Baylor,Bears,BAY
2065,Bethune-Cookman Wildcats,Bethune-Cookman,Wildcats,COOK
68,Boise State Broncos,Boise State,Broncos,BSU
103,Boston College Eagles,Boston College,Eagles,BC
189,Bowling Green Falcons,Bowling Green,Falcons,BGSU
2084,Buffalo Bulls,Buffalo,Bulls,BUFF
13,Cal Poly Mustangs,Cal Poly,Mustangs,CP
25,California Golden Bears,Cal,Golden Bears,CAL
2097,Campbell Camels,Campbell,Camels,CAMP
2110,Central Arkansas Bears,Cent Arkansas,Bears,UCA
2117,Central Michigan Chippewas,Cent Michigan,Chippewas,CMU
2127,Charleston Southern Buccaneers,Charleston So,Buccaneers,CHSO
2429,Charlotte 49ers,Charlotte,49ers,CHAR
236,Chattanooga Mocs,Chattanooga,Mocs,CHAT
2132,Cincinnati Bearcats,Cincinnati,Bearcats,CIN
228,Clemson Tigers,Clemson,Tigers,CLEM
324,Coastal Carolina Chanticleers,Coast Carolina,Chanticleers,CCAR
2142,Colgate Raiders,Colgate,Raiders,COLG
38,Colorado Buffaloes,Colorado,Buffaloes,COLO
36,Colorado State Rams,Colorado State,Rams,CSU
41,Connecticut Huskies,UConn,Huskies,CONN
48,Delaware Blue Hens,Delaware,Blue Hens,DEL
2169,Delaware State Hornets,Delaware State,Hornets,DSU
150,Duke Blue Devils,Duke,Blue Devils,DUKE
2184,Duquesne Dukes,Duquesne,Dukes,DUQ
151,East Carolina Pirates,ECU,Pirates,ECU
2197,Eastern Illinois Panthers,E Illinois,Panthers,EIU
2198,Eastern Kentucky Colonels,E Kentucky,Colonels,EKY
2199,Eastern Michigan Eagles,E Michigan,Eagles,EMU
331,Eastern Washington Eagles,E Washington,Eagles,EWU
2210,Elon Phoenix,Elon,Phoenix,ELON
50,Florida A&M Rattlers,Florida A&M,Rattlers,FAMU
2226,Florida Atlantic Owls,FAU,Owls,FAU
57,Florida Gators,Florida,Gators,FLA
2229,Florida Intl Golden Panthers,FIU,Golden Panthers,FIU
52,Florida State Seminoles,FSU,Seminoles,FSU
2230,Fordham Rams,Fordham,Rams,FOR
278,Fresno State Bulldogs,Fresno State,Bulldogs,FRES
231,Furman Paladins,Furman,Paladins,FUR
2241,Gardner-Webb Bulldogs,Gardner-Webb,Bulldogs,WEBB
61,Georgia Bulldogs,Georgia,Bulldogs,UGA
290,Georgia Southern Eagles,Ga Southern,Eagles,GASO
2247,Georgia State Panthers,Georgia State,Panthers,GAST
59,Georgia Tech Yellow Jackets,Georgia Tech,Yellow Jackets,GT
2755,Grambling State Tigers,Grambling St,Tigers,GRAM
2261,Hampton Pirates,Hampton,Pirates,HAMP
62,Hawaii Rainbow Warriors,Hawaii,Rainbow Warriors,HAW
248,Houston Cougars,Houston,Cougars,HOU
47,Howard Bison,Howard,Bison,HOW
