"","(Intercept)"
"2009_103",-7.8810848865631
"2009_111",8.36069069148895
"2009_113",-2.94499827015231
"2009_119",6.74886434521055
"2009_12",-5.34737932521909
"2009_120",1.20341483315092
"2009_127",-2.26589468593845
"2009_13",-0.250381331172062
"2009_130",0.722704355303817
"2009_135",-3.10766596052543
"2009_142",-4.04401904985265
"2009_145",-8.5880076570955
"2009_147",3.6203340310334
"2009_150",-0.542057758528988
"2009_151",-5.138957439032
"2009_152",2.92839382999103
"2009_153",-12.0448864733689
"2009_154",-3.69255733207251
"2009_155",-0.641202312666612
"2009_158",-16.019441977684
"2009_16",3.38611292466991
"2009_160",-2.10455753785914
"2009_164",-7.64610442148762
"2009_166",1.76508315655412
"2009_167",6.65603718926484
"2009_183",-0.240962590065437
"2009_189",-0.639891245024524
"2009_193",4.23997028900697
"2009_194",-13.0871299865689
"2009_195",-4.28214895412344
"2009_197",-7.39186479474034
"2009_2",-2.20749619281493
"2009_2005",-9.17759207178153
"2009_2006",2.29817337296692
"2009_201",-15.188618665211
"2009_2016",8.14917330847755
"2009_202",-0.184609235762151
"2009_2026",-0.715591002381547
"2009_2032",-1.88330473666219
"2009_204",-5.28653940317549
"2009_2050",1.98589830939124
"2009_2084",-0.329602177878885
"2009_21",3.35990582877532
"2009_2110",-4.64231993787517
"2009_2116",-6.59277417152562
"2009_2117",-7.02436320313084
"2009_2127",14.0095782908172
"2009_213",-12.7130183746623
"2009_2132",-6.58355138779778
"2009_2169",11.0212611968231
"2009_218",-2.43801922916222
"2009_2197",6.97776089343825
"2009_2198",-1.6879891687806
"2009_2199",10.2199094878733
"2009_221",-7.38055367903028
"2009_2210",1.54087526254927
"2009_2226",7.37020280041288
"2009_2229",6.50224539543943
"2009_2241",3.69827355685978
"2009_227",5.1024321592336
"2009_2275",-0.971740205795013
"2009_228",-8.13793068641885
"2009_2287",5.58149776960366
"2009_2294",-11.0015420672576
"2009_2296",4.52513381294357
"2009_23",3.35039068985326
"2009_2305",-1.07083808332932
"2009_2306",-4.3809099532649
"2009_2309",-1.63607332980654
"2009_231",11.2641018867983
"2009_2335",0.367171120889619
"2009_2348",-3.08880734517634
"2009_235",6.01889322724548
"2009_236",2.94981150269471
"2009_2377",7.96256627031611
"2009_238",-3.71269244186934
"2009_239",-2.73628197021827
"2009_2390",-7.01097169351603
"2009_2393",-2.51741237078314
"2009_24",-1.37113608807422
"2009_2400",13.1699338733658
"2009_2415",6.08708060135122
"2009_242",13.1220068039543
"2009_2426",-5.89381935708608
"2009_2428",6.56607151137546
"2009_2433",0.651033762816302
"2009_2439",4.39809467310375
"2009_2440",-0.161762782035676
"2009_2447",14.7904677177214
"2009_2449",2.4273256047601
"2009_245",2.83337797155908
"2009_2458",5.02012498237335
"2009_2459",-4.25356656450545
"2009_2460",-4.45449747018881
"2009_2464",0.500500480638658
"2009_2466",13.7395185251684
"2009_248",1.64056367627641
"2009_2483",-5.21971093172951
"2009_249",9.62308018032685
"2009_25",-3.43920271355216
"2009_2502",-0.926748506944136
"2009_2504",1.86659968358409
"2009_2509",-0.490645852944121
"2009_251",-12.1029620026175
"2009_252",-4.54948520569963
"2009_253",7.87743205922315
"2009_2534",9.52405931670283
"2009_2535",-0.076017922735769
"2009_254",-6.35351224953894
"2009_2545",6.22085952145076
"2009_2546",9.93429915320881
"2009_256",3.80413329426262
"2009_2567",2.00088882379616
"2009_2569",3.44022117611197
"2009_257",-5.31992653763282
"2009_2571",-4.64169003901794
"2009_2572",-1.08660166179927
"2009_2579",-9.24881254290025
"2009_258",-4.31831542671586
"2009_2582",6.21297346547236
"2009_259",-11.7735396907811
"2009_26",-7.51466987619612
"2009_2617",0.677549131362439
"2009_2623",2.26927951017187
"2009_2628",-12.5644974242235
"2009_2630",5.23042522578573
"2009_2633",-5.85200971665745
"2009_2635",6.18028356471526
"2009_2638",5.95871839345633
"2009_264",-2.65284426666542
"2009_2640",11.401419611632
"2009_2641",-6.66016574646357
"2009_2643",3.91851785774886
"2009_2649",10.1291434953109
"2009_265",7.3261826565751
"2009_2653",1.03343113773934
"2009_2655",7.99076599379755
"2009_2678",0.952177145502507
"2009_2692",1.33082971942428
"2009_2710",3.58203860161339
"2009_2711",1.48313699395029
"2009_2729",-4.79399139341811
"2009_2747",4.83550268326547
"2009_275",-4.52304571404323
"2009_2751",-1.47104406363514
"2009_2754",0.273371897093688
"2009_2755",8.27500359570309
"2009_276",-2.22311746398669
"2009_277",-7.19330000163135
"2009_278",-0.86635328450978
"2009_282",1.73130655196879
"2009_290",4.61500360681174
"2009_30",-7.4475788667493
"2009_302",1.4840804946572
"2009_304",13.6234938287991
"2009_309",3.88915996211351
"2009_311",4.84927799528008
"2009_324",2.00270470074825
"2009_326",4.95554134795557
"2009_328",3.80900987269611
"2009_331",9.26243363427161
"2009_333",-16.8650842938141
"2009_344",-4.37802597561119
"2009_349",-2.05146354535352
"2009_356",0.291317144782118
"2009_36",1.0094843490189
"2009_38",-0.621432560642209
"2009_41",-2.89513520765172
"2009_47",5.2793582544277
"2009_48",1.50654519187605
"2009_5",4.46607403196699
"2009_50",3.39916518920808
"2009_52",-0.0776273531570026
"2009_55",-5.95419295868915
"2009_57",-15.301269370111
"2009_58",-6.97810586768958
"2009_59",-4.33920810984567
"2009_61",-2.95135407744851
"2009_62",2.65939342363719
"2009_66",-3.66029464740346
"2009_68",-7.81347995195943
"2009_70",7.16228561132965
"2009_77",-2.50088269628081
"2009_79",2.03229699262915
"2009_8",-3.31836339410036
"2009_84",2.11504625000312
"2009_87",-3.49283437904107
"2009_9",-6.90037358607717
"2009_93",10.9053042006495
"2009_96",-2.58679621751219
"2009_97",-3.00298427730672
"2009_98",11.523499532508
"2009_99",-11.4212514192547
"2010_103",-8.30703634030769
"2010_113",0.920002863504885
"2010_119",7.4315805295542
"2010_12",-8.52035087793089
"2010_120",-5.32878915063743
"2010_127",-6.95330546896081
"2010_13",1.8993230591393
"2010_130",3.57868435090857
"2010_135",2.02405564874652
"2010_142",-12.1316715959365
"2010_145",4.02783541807624
"2010_147",-1.74561616407387
"2010_150",5.41129499255218
"2010_151",12.8123679964291
"2010_152",-6.59311025354631
"2010_153",-6.81595482615871
"2010_154",4.78198488355089
"2010_155",-0.240387486544073
"2010_158",-10.3020816251331
"2010_16",2.68662161141115
"2010_160",1.79361104791956
"2010_164",-0.150391998305407
"2010_166",8.70964725095853
"2010_167",13.0773824312397
"2010_183",-6.59619745120576
"2010_189",4.86106370928027
"2010_193",-1.49018186366662
"2010_194",-12.6811391708978
"2010_195",-1.53847996585925
"2010_197",-1.82381691360532
"2010_2",-5.56207702445196
"2010_2005",-5.54956026923005
"2010_2006",8.1088052781993
"2010_201",-8.00154679705946
"2010_2016",6.58954451809073
"2010_202",1.61511544206259
"2010_2026",4.44698639545611
"2010_2029",2.48926985672776
"2010_2032",4.73514239474343
"2010_204",-6.55879681763153
"2010_2046",14.8992705584326
"2010_2050",5.35312962833575
"2010_2084",2.48564614632384
"2010_21",-2.589494798638
"2010_2110",1.28163322296288
"2010_2116",-8.81800094439926
"2010_2117",-0.963079599884511
"2010_2127",10.4727640808374
"2010_213",-5.93233304112087
"2010_2132",0.345638016807554
"2010_218",-4.73123215608644
"2010_2197",1.57513586024076
"2010_2198",-2.71743592354506
"2010_2199",15.8051431527729
"2010_221",-7.69472596732167
"2010_2210",3.39436537520331
"2010_222",0.991277268597384
"2010_2226",3.99448102778262
"2010_2229",2.42826358677271
"2010_2241",6.1557204297465
"2010_2247",8.84641732825211
"2010_2261",2.12272477463717
"2010_227",4.93380950752723
"2010_228",-10.8988147817827
"2010_2294",-11.6662669562483
"2010_23",2.9335242375314
"2010_2305",4.31336101137097
"2010_2306",-0.0746768863309537
"2010_2309",-0.430056478784304
"2010_231",0.325498831371827
"2010_233",3.53719923619563
"2010_2335",-0.585629865844386
"2010_2348",0.821567689723619
"2010_235",10.5300204379395
"2010_236",5.58036956486501
"2010_2377",-0.996040099233419
"2010_238",0.532995863566613
"2010_239",0.346845336134361
"2010_2390",-9.17043217028008
"2010_2393",2.46923967110472
"2010_24",-11.7037387240813
"2010_2415",9.63640880806676
"2010_242",8.83015924371719
"2010_2426",-5.37738824645976
"2010_2433",3.61549272529803
"2010_2439",7.33995256724303
"2010_2440",-4.49334047895571
"2010_2447",7.18988765178762
"2010_2449",-6.98880578432083
"2010_245",-9.11868627474621
"2010_2450",1.60641936357713
"2010_2458",3.76392520561684
"2010_2459",-4.66420449613624
"2010_2460",-0.372026904779891
"2010_2464",1.24854240180438
"2010_2466",10.9333496138541
"2010_248",4.37797844318281
"2010_2483",-9.59573572181202
"2010_249",2.48971715594633
"2010_25",-8.38259676395859
"2010_2502",9.15419169677135
"2010_2504",-0.580225096814519
"2010_2506",13.8377028272757
"2010_2509",-1.32101539141131
"2010_251",-5.18382808709274
"2010_252",-7.04837404707643
"2010_253",-0.79980784351544
"2010_2534",-0.558318882886135
"2010_2535",7.63163869536074
"2010_254",-5.98983438268287
"2010_2545",-0.331845575795389
"2010_2546",0.912162847828649
"2010_256",-8.38105064073638
"2010_2567",-3.07743499874353
"2010_2569",3.23413131833644
"2010_257",1.58059104544193
"2010_2571",-6.97969835997671
"2010_2572",2.92853425054799
"2010_2579",-8.67469252929849
"2010_258",0.0715910545586768
"2010_259",-9.76469337566065
"2010_26",-2.74432434480399
"2010_2617",4.55538974815565
"2010_2619",10.9161208985731
"2010_2623",3.85746891017665
"2010_2628",-13.2094701454305
"2010_2630",6.78235055462879
"2010_2633",-4.69614142711435
"2010_2635",5.53710260126988
"2010_2638",0.260111226840131
"2010_264",-0.914524896402468
"2010_2640",11.0463362011869
"2010_2641",0.39433923724848
"2010_2643",5.98392917063599
"2010_2649",1.0273973557751
"2010_265",2.07298146153337
"2010_2653",4.38936976107859
"2010_2655",8.41403857829429
"2010_2678",4.57795054998646
"2010_2692",10.5721141655758
"2010_2710",2.42559877045306
"2010_2711",-1.03606373068602
"2010_2717",3.93875409618348
"2010_2729",-3.46937797778564
"2010_2747",2.02865116599221
"2010_275",-6.67965782661241
"2010_2751",1.23292279220869
"2010_2754",5.12619125445661
"2010_2755",-2.70998181372881
"2010_276",1.26421460767395
"2010_277",-12.0355924352152
"2010_278",-0.0624555715981365
"2010_282",2.3999597263539
"2010_290",-7.20400449115252
"2010_30",-4.98579240690773
"2010_302",2.87923771274648
"2010_304",7.64633030529008
"2010_309",7.72715945973346
"2010_311",4.42210235922035
"2010_324",-0.246244676674547
"2010_326",11.0085884729748
"2010_328",2.83413044048097
"2010_331",2.07218319808056
"2010_333",-14.5523350679112
"2010_344",-10.1197083646036
"2010_349",-1.35869352119321
"2010_356",-4.4644179394828
"2010_36",4.69495622171304
"2010_38",0.114684588377823
"2010_41",-5.30478480313122
"2010_5",4.4481559139332
"2010_50",4.01252149980524
"2010_52",-8.39640219573332
"2010_55",4.81252585045379
"2010_57",-6.83859089537502
"2010_58",-6.34382096807286
"2010_59",-2.09783222813306
"2010_61",-5.8718950701222
"2010_62",-4.04018997380449
"2010_66",-0.616424257141152
"2010_68",-12.972332135652
"2010_70",0.205411360202379
"2010_77",0.979733145011065
"2010_79",-0.351818707244202
"2010_8",-5.77464648978952
"2010_84",4.5800663158724
"2010_87",-8.89472920268463
"2010_9",-6.34259384749932
"2010_96",0.0385111772505523
"2010_97",-7.20481928082784
"2010_98",5.33788086666579
"2010_99",-10.3904891317053
"2011_103",-5.93989333569197
"2011_113",7.1962627832942
"2011_119",-0.724129340756967
"2011_12",1.5134885175568
"2011_120",4.29737038140082
"2011_127",-11.5787490907855
"2011_13",6.81406214289921
"2011_130",-10.3115551080577
"2011_135",-0.129438208440469
"2011_142",-8.85611921442314
"2011_145",0.402818010532718
"2011_147",-0.914060299251934
"2011_150",1.97796849288531
