gameid,season,season_type,week,date,time,neutral,homeid,home_score,awayid,away_score
292460152,2009.0,2.0,1.0,2009-09-03,23:00,False,152,2579,3,7
292460189,2009.0,2.0,1.0,2009-09-03,23:00,False,189,2653,31,14
292462050,2009.0,2.0,1.0,2009-09-03,23:30,False,2050,249,10,20
292462309,2009.0,2.0,1.0,2009-09-03,23:00,False,2309,324,18,0
292460066,2009.0,2.0,1.0,2009-09-04,00:00,False,66,2449,34,17
292460068,2009.0,2.0,1.0,2009-09-04,02:15,False,68,2483,19,8
292460084,2009.0,2.0,1.0,2009-09-04,00:00,False,84,2198,19,13
292460254,2009.0,2.0,1.0,2009-09-04,01:00,False,254,328,35,17
292472655,2009.0,2.0,1.0,2009-09-05,00:00,False,2655,202,13,37
292480002,2009.0,2.0,1.0,2009-09-05,23:00,False,2,2348,37,13
292480005,2009.0,2.0,1.0,2009-09-05,20:00,False,5,242,44,24
292480008,2009.0,2.0,1.0,2009-09-05,23:00,False,8,2623,48,10
292480026,2009.0,2.0,1.0,2009-09-05,23:30,False,26,21,33,14
292480030,2009.0,2.0,1.0,2009-09-05,19:30,False,30,23,56,3
292480057,2009.0,2.0,1.0,2009-09-05,23:00,False,57,2127,62,3
292480058,2009.0,2.0,1.0,2009-09-05,23:30,False,58,2747,40,7
292480059,2009.0,2.0,1.0,2009-09-05,17:00,False,59,55,37,17
292480062,2009.0,2.0,1.0,2009-09-05,05:05,False,62,2110,25,20
292480077,2009.0,2.0,1.0,2009-09-05,16:00,False,77,119,47,14
292480087,2009.0,2.0,1.0,2009-09-05,19:30,False,87,2440,35,0
292480097,2009.0,2.0,1.0,2009-09-05,23:30,False,97,282,30,10
292480103,2009.0,2.0,1.0,2009-09-05,18:00,False,103,111,54,0
292480127,2009.0,2.0,1.0,2009-09-05,16:00,False,127,147,44,3
292480130,2009.0,2.0,1.0,2009-09-05,19:30,False,130,2711,31,7
292480150,2009.0,2.0,1.0,2009-09-05,23:00,False,150,257,16,24
292480151,2009.0,2.0,1.0,2009-09-05,16:00,False,151,2026,29,24
292480153,2009.0,2.0,1.0,2009-09-05,22:00,False,153,2643,40,6
292480154,2009.0,2.0,1.0,2009-09-05,19:30,False,154,239,21,24
292480158,2009.0,2.0,1.0,2009-09-05,23:00,False,158,2226,49,3
292480183,2009.0,2.0,1.0,2009-09-05,16:00,False,183,135,20,23
292480194,2009.0,2.0,1.0,2009-09-05,16:00,False,194,2426,31,27
292480195,2009.0,2.0,1.0,2009-09-05,23:00,False,195,41,16,23
292480197,2009.0,2.0,1.0,2009-09-05,19:30,False,197,61,24,10
292480201,2009.0,2.0,1.0,2009-09-05,23:00,True,201,252,13,14
292480204,2009.0,2.0,1.0,2009-09-05,18:30,False,204,2502,34,7
292480213,2009.0,2.0,1.0,2009-09-05,16:00,False,213,2006,31,7
292480221,2009.0,2.0,1.0,2009-09-05,17:00,False,221,2754,38,3
292480228,2009.0,2.0,1.0,2009-09-05,22:00,False,228,2393,37,14
292480245,2009.0,2.0,1.0,2009-09-05,23:00,False,245,167,41,6
292480248,2009.0,2.0,1.0,2009-09-05,23:00,False,248,2466,55,7
