espn_teamid,team_fullname,team_schoolname,team_nickname,team_abbv,team_abvname
2000,Abilene Christian Wildcats,Abilene Christian,Wildcats,ACU,ACU Wildcats
2005,Air Force Falcons,Air Force,Falcons,AFA,AFA Falcons
2006,Akron Zips,Akron,Zips,AKR,AKR Zips
2010,Alabama A&M Bulldogs,Alabama A&M,Bulldogs,AAMU,AAMU Bulldogs
333,Alabama Crimson Tide,Alabama,Crimson Tide,ALA,ALA Crimson Tide
2011,Alabama State Hornets,Alabama State,Hornets,ALST,ALST Hornets
399,Albany Great Danes,Albany,Great Danes,ALBY,ALBY Great Danes
2016,Alcorn State Braves,Alcorn State,Braves,ALCN,ALCN Braves
2026,Appalachian State Mountaineers,Appalachian State,Mountaineers,APP,APP Mountaineers
9,Arizona State Sun Devils,Arizona State,Sun Devils,ASU,ASU Sun Devils
12,Arizona Wildcats,Arizona,Wildcats,ARIZ,ARIZ Wildcats
8,Arkansas Razorbacks,Arkansas,Razorbacks,ARK,ARK Razorbacks
2032,Arkansas State Red Wolves,Arkansas State,Red Wolves,ARST,ARST Red Wolves
2029,Arkansas-Pine Bluff Golden Lions,Arkansas-Pine Bluff,Golden Lions,ARPB,ARPB Golden Lions
349,Army Black Knights,Army,Black Knights,ARMY,ARMY Black Knights
2,Auburn Tigers,Auburn,Tigers,AUB,AUB Tigers
2046,Austin Peay Governors,Austin Peay,Governors,PEAY,PEAY Governors
252,BYU Cougars,BYU,Cougars,BYU,BYU Cougars
2050,Ball State Cardinals,Ball State,Cardinals,BALL,BALL Cardinals
239,Baylor Bears,Baylor,Bears,BAY,BAY Bears
2065,Bethune-Cookman Wildcats,Bethune-Cookman,Wildcats,COOK,COOK Wildcats
68,Boise State Broncos,Boise State,Broncos,BSU,BSU Broncos
103,Boston College Eagles,Boston College,Eagles,BC,BC Eagles
189,Bowling Green Falcons,Bowling Green,Falcons,BGSU,BGSU Falcons
2084,Buffalo Bulls,Buffalo,Bulls,BUFF,BUFF Bulls
13,Cal Poly Mustangs,Cal Poly,Mustangs,CP,CP Mustangs
25,California Golden Bears,California,Golden Bears,CAL,CAL Golden Bears
2097,Campbell Camels,Campbell,Camels,CAMP,CAMP Camels
2110,Central Arkansas Bears,Central Arkansas,Bears,UCA,UCA Bears
2117,Central Michigan Chippewas,Central Michigan,Chippewas,CMU,CMU Chippewas
2127,Charleston Southern Buccaneers,Charleston Southern,Buccaneers,CHSO,CHSO Buccaneers
2429,Charlotte 49ers,Charlotte,49ers,CHAR,CHAR 49ers
236,Chattanooga Mocs,Chattanooga,Mocs,CHAT,CHAT Mocs
2132,Cincinnati Bearcats,Cincinnati,Bearcats,CIN,CIN Bearcats
228,Clemson Tigers,Clemson,Tigers,CLEM,CLEM Tigers
324,Coastal Carolina Chanticleers,Coastal Carolina,Chanticleers,CCAR,CCAR Chanticleers
2142,Colgate Raiders,Colgate,Raiders,COLG,COLG Raiders
38,Colorado Buffaloes,Colorado,Buffaloes,COLO,COLO Buffaloes
36,Colorado State Rams,Colorado State,Rams,CSU,CSU Rams
41,Connecticut Huskies,Connecticut,Huskies,CONN,CONN Huskies
48,Delaware Blue Hens,Delaware,Blue Hens,DEL,DEL Blue Hens
2169,Delaware State Hornets,Delaware State,Hornets,DSU,DSU Hornets
150,Duke Blue Devils,Duke,Blue Devils,DUKE,DUKE Blue Devils
2184,Duquesne Dukes,Duquesne,Dukes,DUQ,DUQ Dukes
151,East Carolina Pirates,East Carolina,Pirates,ECU,ECU Pirates
2197,Eastern Illinois Panthers,Eastern Illinois,Panthers,EIU,EIU Panthers
2198,Eastern Kentucky Colonels,Eastern Kentucky,Colonels,EKY,EKY Colonels
2199,Eastern Michigan Eagles,Eastern Michigan,Eagles,EMU,EMU Eagles
331,Eastern Washington Eagles,Eastern Washington,Eagles,EWU,EWU Eagles
2210,Elon Phoenix,Elon,Phoenix,ELON,ELON Phoenix
50,Florida A&M Rattlers,Florida A&M,Rattlers,FAMU,FAMU Rattlers
2226,Florida Atlantic Owls,Florida Atlantic,Owls,FAU,FAU Owls
57,Florida Gators,Florida,Gators,FLA,FLA Gators
2229,Florida Intl Golden Panthers,Florida Intl,Golden Panthers,FIU,FIU Golden Panthers
52,Florida State Seminoles,Florida State,Seminoles,FSU,FSU Seminoles
2230,Fordham Rams,Fordham,Rams,FOR,FOR Rams
278,Fresno State Bulldogs,Fresno State,Bulldogs,FRES,FRES Bulldogs
231,Furman Paladins,Furman,Paladins,FUR,FUR Paladins
2241,Gardner-Webb Bulldogs,Gardner-Webb,Bulldogs,WEBB,WEBB Bulldogs
61,Georgia Bulldogs,Georgia,Bulldogs,UGA,UGA Bulldogs
290,Georgia Southern Eagles,Georgia Southern,Eagles,GASO,GASO Eagles
2247,Georgia State Panthers,Georgia State,Panthers,GAST,GAST Panthers
59,Georgia Tech Yellow Jackets,Georgia Tech,Yellow Jackets,GT,GT Yellow Jackets
2755,Grambling State Tigers,Grambling State,Tigers,GRAM,GRAM Tigers
2261,Hampton Pirates,Hampton,Pirates,HAMP,HAMP Pirates
62,Hawaii Rainbow Warriors,Hawaii,Rainbow Warriors,HAW,HAW Rainbow Warriors
248,Houston Cougars,Houston,Cougars,HOU,HOU Cougars
47,Howard Bison,Howard,Bison,HOW,HOW Bison
304,Idaho State Bengals,Idaho State,Bengals,IDST,IDST Bengals
70,Idaho Vandals,Idaho,Vandals,IDHO,IDHO Vandals
356,Illinois Fighting Illini,Illinois,Fighting Illini,ILL,ILL Fighting Illini
2287,Illinois State Redbirds,Illinois State,Redbirds,ILST,ILST Redbirds
84,Indiana Hoosiers,Indiana,Hoosiers,IND,IND Hoosiers
282,Indiana State Sycamores,Indiana State,Sycamores,INST,INST Sycamores
2294,Iowa Hawkeyes,Iowa,Hawkeyes,IOWA,IOWA Hawkeyes
66,Iowa State Cyclones,Iowa State,Cyclones,ISU,ISU Cyclones
2296,Jackson State Tigers,Jackson State,Tigers,JKST,JKST Tigers
55,Jacksonville State Gamecocks,Jacksonville State,Gamecocks,JVST,JVST Gamecocks
256,James Madison Dukes,James Madison,Dukes,JMU,JMU Dukes
2305,Kansas Jayhawks,Kansas,Jayhawks,KU,KU Jayhawks
2306,Kansas State Wildcats,Kansas State,Wildcats,KSU,KSU Wildcats
2309,Kent State Golden Flashes,Kent State,Golden Flashes,KENT,KENT Golden Flashes
96,Kentucky Wildcats,Kentucky,Wildcats,UK,UK Wildcats
99,LSU Tigers,LSU,Tigers,LSU,LSU Tigers
2320,Lamar Cardinals,Lamar,Cardinals,LAM,LAM Cardinals
2335,Liberty Flames,Liberty,Flames,LIB,LIB Flames
309,Louisiana Lafayette Ragin' Cajuns,Louisiana Lafayette,Ragin' Cajuns,ULL,ULL Ragin' Cajuns
2433,Louisiana Monroe Warhawks,Louisiana Monroe,Warhawks,ULM,ULM Warhawks
2348,Louisiana Tech Bulldogs,Louisiana Tech,Bulldogs,LT,LT Bulldogs
