season,instgroup,max_page
2005.0,HighSchool,44.0
2005.0,JuniorCollege,5.0
2005.0,PrepSchool,1.0
2006.0,HighSchool,44.0
2006.0,JuniorCollege,6.0
2006.0,PrepSchool,1.0
2007.0,HighSchool,45.0
2007.0,JuniorCollege,5.0
2007.0,PrepSchool,1.0
2008.0,HighSchool,44.0
2008.0,JuniorCollege,6.0
2008.0,PrepSchool,1.0
2009.0,HighSchool,46.0
2009.0,JuniorCollege,6.0
2009.0,PrepSchool,1.0
2010.0,HighSchool,50.0
2010.0,JuniorCollege,6.0
2010.0,PrepSchool,1.0
2011.0,HighSchool,54.0
2011.0,JuniorCollege,6.0
2011.0,PrepSchool,1.0
2012.0,HighSchool,63.0
2012.0,JuniorCollege,6.0
2012.0,PrepSchool,1.0
2013.0,HighSchool,70.0
2013.0,JuniorCollege,10.0
2013.0,PrepSchool,2.0
2014.0,HighSchool,77.0
2014.0,JuniorCollege,10.0
2014.0,PrepSchool,2.0
2015.0,HighSchool,72.0
2015.0,JuniorCollege,9.0
2015.0,PrepSchool,1.0
2016.0,HighSchool,80.0
2016.0,JuniorCollege,10.0
2016.0,PrepSchool,1.0
2017.0,HighSchool,86.0
2017.0,JuniorCollege,9.0
2017.0,PrepSchool,1.0
