team_fullname,team_href,team_hrefname
Boston College Eagles,https://247sports.com/college/boston-college,boston-college
Clemson Tigers,https://247sports.com/college/clemson,clemson
Duke Blue Devils,https://247sports.com/college/duke,duke
Florida State Seminoles,https://floridastate.247sports.com,floridastate
Georgia Tech Yellow Jackets,https://georgiatech.247sports.com,georgiatech
Louisville Cardinals,https://louisville.247sports.com,louisville
Miami Hurricanes,https://247sports.com/college/miami,miami
N.C. State Wolfpack,https://247sports.com/college/north-carolina-state,north-carolina-state
North Carolina Tar Heels,https://northcarolina.247sports.com,northcarolina
Pittsburgh Panthers,https://247sports.com/college/pittsburgh,pittsburgh
Syracuse Orange,https://247sports.com/college/syracuse,syracuse
Virginia Cavaliers,https://247sports.com/college/virginia,virginia
Virginia Tech Hokies,https://247sports.com/college/virginia-tech,virginia-tech
Wake Forest Demon Deacons,https://247sports.com/college/wake-forest,wake-forest
Cincinnati Bearcats,https://247sports.com/college/cincinnati,cincinnati
Connecticut Huskies,https://247sports.com/college/uconn,uconn
East Carolina Pirates,https://247sports.com/college/east-carolina,east-carolina
Houston Cougars,https://247sports.com/college/houston,houston
Memphis Tigers,https://247sports.com/college/memphis,memphis
Navy Midshipmen,https://247sports.com/college/navy,navy
SMU Mustangs,https://247sports.com/college/southern-methodist,southern-methodist
South Florida Bulls,https://247sports.com/college/south-florida,south-florida
Temple Owls,https://temple.247sports.com,temple
Tulane Green Wave,https://247sports.com/college/tulane,tulane
Tulsa Golden Hurricane,https://247sports.com/college/tulsa,tulsa
UCF Knights,https://247sports.com/college/central-florida,central-florida
Baylor Bears,https://247sports.com/college/baylor,baylor
Iowa State Cyclones,https://247sports.com/college/iowa-state,iowa-state
Kansas Jayhawks,https://kansas.247sports.com,kansas
Kansas State Wildcats,https://247sports.com/college/kansas-state,kansas-state
Oklahoma Sooners,https://247sports.com/college/oklahoma,oklahoma
Oklahoma State Cowboys,https://247sports.com/college/oklahoma-state,oklahoma-state
TCU Horned Frogs,https://247sports.com/college/tcu,tcu
Texas Longhorns,https://247sports.com/college/texas,texas
Texas Tech Red Raiders,https://247sports.com/college/texas-tech,texas-tech
West Virginia Mountaineers,https://247sports.com/college/west-virginia,west-virginia
Illinois Fighting Illini,https://247sports.com/college/illinois,illinois
Indiana Hoosiers,https://indiana.247sports.com,indiana
Iowa Hawkeyes,https://iowa.247sports.com,iowa
Maryland Terrapins,https://maryland.247sports.com,maryland
Michigan State Spartans,https://michiganstate.247sports.com,michiganstate
Michigan Wolverines,https://247sports.com/college/michigan,michigan
Minnesota Golden Gophers,https://247sports.com/college/minnesota,minnesota
Nebraska Cornhuskers,https://nebraska.247sports.com,nebraska
Northwestern Wildcats,https://247sports.com/college/northwestern,northwestern
Ohio State Buckeyes,https://ohiostate.247sports.com,ohiostate
Penn State Nittany Lions,https://247sports.com/college/penn-state,penn-state
Purdue Boilermakers,https://247sports.com/college/purdue,purdue
Rutgers Scarlet Knights,https://247sports.com/college/rutgers,rutgers
Wisconsin Badgers,https://247sports.com/college/wisconsin,wisconsin
Charlotte 49ers,https://247sports.com/college/charlotte,charlotte
FIU Golden Panthers,https://247sports.com/college/florida-international,florida-international
Florida Atlantic Owls,https://247sports.com/college/florida-atlantic,florida-atlantic
Louisiana Tech Bulldogs,https://247sports.com/college/louisiana-tech,louisiana-tech
Marshall Thundering Herd,https://247sports.com/college/marshall,marshall
Middle Tennessee State Blue Raiders,https://247sports.com/college/middle-tennessee-state,middle-tennessee-state
North Texas Mean Green,https://247sports.com/college/north-texas,north-texas
Old Dominion Monarchs,https://247sports.com/college/old-dominion,old-dominion
Rice Owls,https://247sports.com/college/rice,rice
Southern Miss Golden Eagles,https://247sports.com/college/southern-mississippi,southern-mississippi
Texas-San Antonio Roadrunners,https://247sports.com/college/texas-san-antonio,texas-san-antonio
UAB Blazers,https://247sports.com/college/alabama-birmingham,alabama-birmingham
UTEP Miners,https://247sports.com/college/utep,utep
Western Kentucky Hilltoppers,https://247sports.com/college/western-kentucky,western-kentucky
Army Black Knights,https://247sports.com/college/army,army
Brigham Young Cougars,https://247sports.com/college/byu,byu
Massachusetts Minutemen,https://247sports.com/college/massachusetts,massachusetts
Notre Dame Fighting Irish,https://247sports.com/college/notre-dame,notre-dame
Akron Zips,https://247sports.com/college/akron,akron
Ball State Cardinals,https://247sports.com/college/ball-state,ball-state
Bowling Green Falcons,https://247sports.com/college/bowling-green,bowling-green
Buffalo Bulls,https://247sports.com/college/buffalo,buffalo
Central Michigan Chippewas,https://247sports.com/college/central-michigan,central-michigan
Eastern Michigan Eagles,https://247sports.com/college/eastern-michigan,eastern-michigan
Kent State Golden Flashes,https://247sports.com/college/kent-state,kent-state
Miami (OH) RedHawks,https://247sports.com/college/miamiohio,miamiohio
Northern Illinois Huskies,https://247sports.com/college/northern-illinois,northern-illinois
Ohio Bobcats,https://247sports.com/college/ohio,ohio
Toledo Rockets,https://247sports.com/college/toledo,toledo
Western Michigan Broncos,https://247sports.com/college/western-michigan,western-michigan
Air Force Falcons,https://247sports.com/college/air-force,air-force
Boise State Broncos,https://247sports.com/college/boise-state,boise-state
Colorado State Rams,https://247sports.com/college/colorado-state,colorado-state
Fresno State Bulldogs,https://247sports.com/college/fresno-state,fresno-state
Hawaii Warriors,https://247sports.com/college/hawaii,hawaii
Nevada Wolf Pack,https://247sports.com/college/nevada,nevada
New Mexico Lobos,https://247sports.com/college/new-mexico,new-mexico
San Diego State Aztecs,https://247sports.com/college/san-diego-state,san-diego-state
San Jose State Spartans,https://247sports.com/college/san-jose-state,san-jose-state
UNLV Runnin' Rebels,https://247sports.com/college/unlv,unlv
